cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,52.01
310.0,142.8,0.0,167.9,10.0,914.3,804.0,28,45.3
136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28,26.91
288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,35.85
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
261.0,100.0,78.0,201.0,9.0,864.0,761.0,28,32.4
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,7,14.5
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8
326.0,166.0,0.0,174.0,9.0,882.0,790.0,28,61.23
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28,21.07
321.3,164.2,0.0,190.5,4.6,870.0,774.0,28,57.22
331.0,0.0,0.0,192.0,0.0,879.0,825.0,3,13.52
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3
150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14,24.66
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5
158.4,0.0,194.9,219.7,11.0,897.7,712.9,28,8.54
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56,47.97
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7,21.82
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28,43.7
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94
149.0,118.0,92.0,183.0,7.0,953.0,780.0,28,23.52
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3,11.36
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62
252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
148.0,0.0,137.0,158.0,16.0,1002.0,830.0,28,17.95
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56,39.27
135.0,0.0,166.0,180.0,10.0,961.0,805.0,28,13.29
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,28,37.42
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5
132.0,207.0,161.0,179.0,5.0,867.0,736.0,28,33.3
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90,32.53
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14,26.05
355.0,19.0,97.0,145.0,12.3,967.0,871.0,28,55.45
153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.37
146.5,114.6,89.3,201.9,8.8,860.0,829.5,28,19.99
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28,33.66
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28,67.57
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28,33.95
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7,41.67
272.8,105.1,81.8,209.7,9.0,904.0,679.7,28,37.17
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.87
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
156.0,178.0,187.0,221.0,7.0,854.0,614.0,28,29.41
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2
331.0,0.0,0.0,192.0,0.0,978.0,825.0,28,31.45
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28,17.58
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63
310.0,0.0,0.0,192.0,0.0,970.0,850.0,28,27.92
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180,36.45
153.0,145.0,113.0,178.0,8.0,867.0,824.0,28,26.23
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14,33.7
310.0,0.0,0.0,192.0,0.0,970.0,850.0,90,34.68
277.0,116.8,91.0,190.6,7.0,946.5,665.6,28,43.58
148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7,27.74
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7,15.07
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,39.3
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
164.6,0.0,150.4,181.6,11.7,1023.3,728.9,28,18.03
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,90,58.78
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28,30.22
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28,38.7
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3,14.4
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3,12.54
145.9,230.5,0.0,202.5,3.4,827.0,871.8,28,32.72
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28,57.92
152.0,0.0,112.0,184.0,8.0,992.0,816.0,28,12.18
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90,25.46
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,50.08
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
540.0,0.0,0.0,173.0,0.0,1125.0,613.0,7,52.61
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73
305.0,0.0,100.0,196.0,10.0,959.0,705.0,28,30.12
331.0,0.0,0.0,192.0,0.0,978.0,825.0,3,13.52
385.0,0.0,0.0,186.0,0.0,966.0,763.0,1,6.27
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4
148.0,175.0,0.0,171.0,2.0,1000.0,828.0,28,26.92
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22
382.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90,32.92
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85
133.1,210.2,0.0,195.7,3.1,949.4,795.3,28,28.94
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
136.0,162.0,126.0,172.0,10.0,923.0,764.0,28,29.07
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,1,12.64
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9
164.2,0.0,200.1,181.2,12.6,849.3,846.0,28,15.09
382.0,0.0,0.0,185.0,0.0,1047.0,739.0,7,24.0
313.0,145.0,0.0,178.0,8.0,867.0,824.0,28,44.39
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43
255.0,99.0,77.0,189.0,6.0,919.0,749.0,28,33.8
331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3,6.9
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,7,18.13
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
298.1,0.0,107.5,163.6,12.8,953.2,784.0,28,35.87
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45
134.7,0.0,165.7,180.2,10.0,961.0,804.9,28,13.29
184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7,15.69
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6
525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1
149.0,153.0,194.0,192.0,8.0,935.0,623.0,28,24.58
250.2,166.8,0.0,203.5,0.0,977.6,694.1,3,9.73
349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75
149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89
393.0,0.0,0.0,192.0,0.0,940.0,758.0,28,39.58
236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28,59.0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14,29.59
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
516.0,0.0,0.0,162.0,8.3,801.0,802.0,28,41.37
154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37
141.3,212.0,0.0,203.5,0.0,971.8,748.5,3,4.83
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
331.0,0.0,0.0,192.0,0.0,978.0,825.0,180,39.0
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28,27.87
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82
237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28,24.85
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7,13.09
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28,60.28
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
295.0,0.0,0.0,185.0,0.0,1069.0,769.0,28,25.18
277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.57
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3,16.28
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28,33.0
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90,26.94
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7,7.51
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14,21.26
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
153.0,239.0,0.0,200.0,6.0,1002.0,684.0,28,26.86
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7,24.13
145.0,0.0,179.0,202.0,8.0,824.0,869.0,28,10.54
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3,13.57
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28,24.05
264.5,111.0,86.5,195.5,5.9,832.6,790.4,28,41.54
393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
297.0,0.0,0.0,186.0,0.0,1040.0,734.0,7,30.96
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.43
312.9,160.5,0.0,177.6,9.6,916.6,759.5,28,52.45
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90,31.02
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3,15.52
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28,64.02
143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54
144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87
144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14
122.6,183.9,0.0,203.5,0.0,958.2,800.1,7,10.35
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
322.0,0.0,116.0,196.0,10.0,818.0,813.0,28,31.18
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3,11.41
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,51.02
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.57
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0
156.0,243.0,0.0,180.0,11.0,1022.0,698.0,28,37.36
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23
374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4
322.5,148.6,0.0,185.8,8.5,951.0,709.5,28,52.43
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28,39.38
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
284.0,119.7,0.0,168.3,7.2,970.4,794.2,28,40.93
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7,16.89
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
349.0,0.0,0.0,192.0,0.0,1056.0,809.0,120,40.86
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24
144.8,0.0,133.6,180.8,11.1,979.5,811.5,28,13.2
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
385.0,0.0,0.0,186.0,0.0,966.0,763.0,3,14.7
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52
108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3,6.47
314.0,145.0,113.0,179.0,8.0,869.0,690.0,28,46.23
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
397.0,0.0,0.0,186.0,0.0,1040.0,734.0,28,36.94
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67
260.0,101.0,78.0,171.0,10.0,936.0,763.0,28,49.77
281.0,0.0,0.0,186.0,0.0,1104.0,774.0,28,22.44
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56,53.46
318.0,0.0,126.0,210.0,6.0,861.0,737.0,28,40.06
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3,4.78
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
